,Name,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
4655,Safety Supervisor,East Midnapore,,Environment Health & Safety Department,6 May 2022,1.0,1.0,1.0,2.0,1.0,1.0,2.0,everything is bad in this company,over all good experience
4656,Assistant Manager,Bhopal,,Accounting & Taxation Department,9 May 2022,5.0,4.0,5.0,4.0,5.0,4.0,4.0,nothing,working culture
4657,Construction Manager Civil,Gujrat,,Strategic Management Department,1 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,rating system,company policies and staff welfare
4658,Construction Manager Civil,Mumbai,,Construction Engineering Department,0 Jun 2022,4.0,3.0,3.0,5.0,5.0,3.0,3.0,work life balance,good senior management they believe in long time people as asset
4660,Mechanical Technician,"Hazira, Gujarat",Full Time,"Operations, Maintenance & Support Department",6 Nov 2022,5.0,4.0,4.0,4.0,5.0,5.0,5.0,mechanics technical like all mechanical work,nail
4661,Sr. Piping Engineer,Vadodara,Full Time,Engineering & Manufacturing Department,8 Apr 2022,4.0,3.0,3.0,2.0,4.0,3.0,2.0,work environment is good,compensation and career growth can be better
4662,Senior Software Developer,Hyderabad,Full Time,Software Development Department,9 Apr 2022,5.0,4.0,4.0,4.0,4.0,5.0,4.0,best company to work,expecting some good salary
4663,Manager,Mumbai,Full Time,Construction Engineering Department,4 Oct 2021,3.0,2.0,5.0,2.0,1.0,2.0,2.0,rating system is very worst no job security they will show some persons worked for 30 years 20 years etc but its all are past,for long career l t is not suggestable for learning its good company apart from their rating system all other things are almost okay
4664,Land Surveyor,Others,Full Time,Civil Department,8 Jun 2022,5.0,5.0,4.0,5.0,4.0,4.0,4.0,excellent work environment,sometime transport food problems
4665,Senior Construction Manager,Kolkata,,Construction Engineering Department,5 May 2022,4.0,3.0,4.0,4.0,5.0,4.0,4.0,job security,work life balance
4666,Assistant Manager,Chennai,,Mining Department,2 May 2022,4.0,4.0,4.0,4.0,4.0,3.0,4.0,good work culture and having team work,working time
4667,Senior Engineer,Jammu,,Construction Engineering Department,9 Apr 2022,3.0,1.0,3.0,3.0,3.0,2.0,2.0,it s a pure work based company no personal life nothing job security outer profile is very good about large and tour but inner is very bad atmosphere,management system procedure digital work culture
4668,Senior Construction Manager,Mumbai,,Construction Engineering Department,2 Jun 2022,5.0,5.0,5.0,3.0,4.0,5.0,4.0,salary appraisal and work life balance,great platform to gain knowledge in oil n gas industries
4670,Senior Quality Engineer,Pune,Full Time,Quality Assurance and Testing Department,1 Apr 2022,3.0,3.0,3.0,1.0,2.0,2.0,2.0,none,no employee motivation salary in peanuts average work culture strict working hours
4671,Project Manager,Bengaluru/Bangalore,Full Time,Administration Department,1 Nov 2021,5.0,5.0,5.0,3.0,5.0,5.0,3.0,an amazing workplace company is based on strong values employee welfare is top notch yes compensation is less than market average but that s alright work life balance is unparalleled,compensation should match market standards rest all super amazing company i love working here
4672,Assistant Construction Manager,Chennai,Full Time,Construction Engineering Department,4 Dec 2021,4.0,3.0,5.0,3.0,5.0,3.0,4.0,l t gives full freedom at work irrespective of discipline one can handle and take lead over any kind of works company encourage people who takes more job responsibilities,work life balance is bit difficult some times work demands presence at site on sundays and holidays
