,Name,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
6902,Pipe Fitter,Not,Full Time,Mechanical Department,3 Sep 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,left engineer my job,no dislike
6903,Supervisor,Surat,,SCM & Logistics Department,1 Jan 2022,3.0,2.0,3.0,3.0,3.0,4.0,4.0,for working experience,job security
6904,Senior Civil Foreman,Mumbai,,L& T ECC Division Department,4 Aug 2019,5.0,5.0,5.0,5.0,5.0,5.0,4.0,salary basic,hind english
6905,Senior Engineer,Mumbai,,Construction Engineering Department,3 Jan 2022,5.0,3.0,5.0,3.0,4.0,3.0,4.0,no need think about anything work will take your time,working environment not good
6906,Site Engineer,Chennai,,Construction Engineering Department,2 May 2021,5.0,5.0,5.0,3.0,5.0,5.0,5.0,good work nd management also good,local issue solved by self my management
6907,Store Associate,Bihar,,Construction Engineering Department,3 Nov 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good management for l t,no
6908,Senior Software Engineer,Bangalore Rural,,Hardware Department,8 Jun 2022,2.0,1.0,1.0,2.0,2.0,1.0,1.0,nothing,work life balance
6909,Ir Assistant,Uttrakhand,,"Mechanical Engineering, ir assistant  Department",4 Jul 2021,3.0,3.0,4.0,4.0,2.0,4.0,3.0,job was good and culture r also good company accommodation policies and management are excellent,salary issue and holiday issue
6910,Branch Manager,Mumbai,Full Time,Finance Department,1 Mar 2023,3.0,2.0,1.0,4.0,3.0,1.0,3.0,only salary nothing else,except salary everything is poor
6911,Civil Site Engineer,Mum,Full Time,Construction Engineering Department,9 Feb 2022,3.0,3.0,2.0,3.0,5.0,5.0,4.0,good environment and culture,no
6912,Project Director,New Delhi,,,8 Jan 2021,3.0,2.0,2.0,4.0,4.0,3.0,3.0,as far as could 19 large and tour is not supporting at all,no work life balance in the era of could 19 even people with pre existing disease are being forced to come to office and to travel frequently
6913,Site Engineer,Mumbai,,Construction Engineering Department,0 Mar 2019,5.0,5.0,5.0,3.0,5.0,5.0,5.0,teammate work environment career growth,salary
6914,Senior Piping Engineer,Paradip Odisa,,Construction Engineering Department,9 Jul 2021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,worst level of politics,job security nothing bad working environment
6915,Data Entry Operator Come Admin,Doddaballapura,,Accounting & Taxation Department,7 Mar 2021,3.0,1.0,5.0,1.0,1.0,3.0,1.0,team support is high but no job security,job training is not given to new coiners career growth is very slow
6916,Junior Quality Engineer,Chennai,,Production & Manufacturing Department,6 Aug 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good working culture career growth company benefits knowledge development good salary etc,none
6917,Piping Supervisor,Mascat,,Mechanical Piping Department,2 Apr 2021,5.0,4.0,4.0,4.0,4.0,4.0,4.0,i like the company it has good management system and also a good safety at the camp and site,the culture of l t is very unique to work and learning through working in the company is a very good inspiring for me
6918,Land Surveyor,"Duttapukur, North 24 Parganas, West Bengal",,Construction Engineering Department,7 Mar 2021,5.0,5.0,5.0,4.0,4.0,5.0,5.0,none,good
6920,Manager Hvac,Mumbai Suburban,Full Time,"Operations, Maintenance & Support Department",1 Apr 2021,5.0,5.0,4.0,5.0,5.0,4.0,4.0,grateful and nice environment,low carrier growth
6921,Senior Engineer,Bharuch,Full Time,Occupational Health & Safety Department,9 Mar 2021,4.0,3.0,4.0,4.0,5.0,4.0,4.0,the company has great policies and have great exposure to various fields,have a challenging work life balance
6922,Manager,Mumbai,Full Time,,1 Sep 2021,4.0,4.0,4.0,4.0,4.0,4.0,4.0,growth and learning is good,work life balance
6923,Junior Engineer Civil,Mayurbhanj,Full Time,Construction Engineering Department,6 Aug 2021,4.0,3.0,4.0,4.0,4.0,4.0,3.0,very nice company,adequate training lot of opportunities for an individual growth
6924,Planning Engineer,"Chennai, Tamil Nadu",Full Time,,2 Jan 2023,4.0,3.0,5.0,5.0,5.0,5.0,5.0,bad work life balance,work culture suppurative management
6925,Product Manager,Mumbai,,Product Management - Technology Department,8 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,nothing,never work as contract employee
6926,Construction Manager (electrical),Delhi NCR,,Construction Engineering Department,7 Sep 2021,4.0,3.0,4.0,4.0,3.0,4.0,4.0,policy for contract employees,learning new things
6927,Senior Electrical Engineer,Lucknow,,Construction Engineering Department,8 May 2021,5.0,4.0,5.0,5.0,4.0,4.0,5.0,duty hour no time limit,good corporate
6928,Internship,Mysuru,,Software Development Department,1 Sep 2021,5.0,5.0,5.0,5.0,4.0,5.0,5.0,to learn new things in this company is best part,nice place to learn
6930,Surve,Gujrat,,Accounting & Taxation Department,5 Jun 2022,5.0,5.0,5.0,2.0,3.0,5.0,2.0,supporting management helpful staff,h r management is not suppurative
6931,Safety Supervisor,Pryagraj,,Construction Engineering Department,6 May 2021,3.0,3.0,3.0,3.0,3.0,3.0,4.0,this company is has been good working experience and work satisfaction,accommodation
6932,Structural Fabricator,Visakhapatnam,,Heavy lift Department,9 May 2021,5.0,5.0,5.0,5.0,5.0,5.0,4.0,all staff are very good people easy to done my job and any problem i talk to my superior and love it,nothing
6933,Site Incharge,Kolkata,,Construction Engineering Department,5 Apr 2021,5.0,2.0,4.0,3.0,1.0,2.0,2.0,l t safety culture,job security is bad intact your rating is good like 6 rating
6934,Qa Qc Engineer,Rajasthan,,Production & Manufacturing Department,1 Apr 2021,3.0,2.0,4.0,3.0,3.0,3.0,3.0,the brand name of the company,about the work life balance compensation benefit
6935,Web Developer,Bengaluru,,,3 Oct 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes good opportunity,good opportunity
6936,"PCB Design Engineer,Board Design Engineer",Bangalore,,Accounting & Taxation Department,3 Sep 2021,1.0,1.0,1.0,1.0,2.0,1.0,1.0,nothing it is the worst mac i have ever seen,everything
6937,Assistant Manager,Chennai,,Business Intelligence & Analytics Department,1 Mar 2021,2.0,3.0,1.0,1.0,4.0,2.0,1.0,these people don t know how to manage talent only mediocre people can survive here no space for talent,compensation below what market is offering for post graduates no compoffs have to work on public holidays as well
6938,Area Sales Manager,Jalgaon,,"Trading, Asset & Wealth Management Department",6 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,best work experience in l t,everything excellent nothing to worry
6940,Senior Storage QA Engineer,Bangalore,Full Time,Accounting & Taxation Department,0 Nov 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good management,nothing much
6941,Safety Officer,Faridabad,,Safety Health & Environment Department,6 Aug 2021,5.0,4.0,4.0,4.0,3.0,3.0,4.0,very good,good
6942,Assistant Manager,Mumbai,,,5 Oct 2021,5.0,5.0,5.0,4.0,5.0,5.0,4.0,job security good company to start your career,slow growth but helps to understand lot of things
6943,Assistant Manager,KATNI,,Construction Engineering Department,8 Apr 2021,3.0,1.0,4.0,3.0,4.0,3.0,3.0,job security exposure to various profile,poor work life balance un fair process of appraisal
6944,Graduate Engineer Trainee (get),Banglore,,,1 Jan 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,very good environment work life balance,nothing
6945,Senior Planning Engineer,Ilkal,,Construction Engineering Department,2 Apr 2021,1.0,1.0,4.0,4.0,3.0,1.0,3.0,no work life balance at project sites,no work life balance at project sites
6946,Service Engineer,Nagpur,,PRODUCT SUPPORT DEPARTMENT  Department,8 Jul 2021,5.0,4.0,5.0,4.0,5.0,5.0,4.0,applying new creative ideas,nothing
6947,Production Engineer,Surat,,Production Department,0 Jun 2021,4.0,5.0,5.0,2.0,3.0,4.0,4.0,job security is less safety is less,safety and quality is good
6948,Mig Welder,Bangalore Rural,,Mechanical Department,7 Aug 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,no,i like about working in large tour because the safety of person
6950,Area Sales Manager,Ranchi,,Finance Department,9 Apr 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,this company is very good to work,nothing is disliked in this company
6951,Assistant Qaqc Manager,Allahabad/Prayagraj,,,2 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,everything,nothing
6952,Project Manager And Joint General Manager,Vadodara,,Construction Engineering Department,3 Apr 2021,5.0,3.0,4.0,3.0,4.0,4.0,5.0,freedom s of the managers to take decision,work life culture when posted at site
6953,Manager,Mahape,,,8 Apr 2021,5.0,4.0,4.0,5.0,3.0,5.0,3.0,one of the best company i have ever worked never wanted to leave,job security in my case
6954,Electrical Engineer,Allahabad,,Construction Engineering Department,5 Sep 2021,4.0,2.0,4.0,2.0,3.0,3.0,3.0,company policies,politics
6955,Electrical Foreman,Qatar,,Construction Engineering Department,4 Jan 2021,4.0,4.0,4.0,3.0,4.0,4.0,4.0,i continue do my work in lockdown time my company gave some protocol for could 19 i followed that rule in work place i am safe now economically also safe thank to large tour,no comments
6956,Technical Lead,Bangalore Rural,,Software Development Department,2 Apr 2021,4.0,3.0,5.0,3.0,4.0,4.0,3.0,learning new things for better growth,poor annual appraisal work life balance is bad career growth zero
6957,Junior Business Analyst,Chennai,,Finance Department,1 Mar 2021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no proper support they re hiding the could cases also few fatal happened due to lot of congestion,full of corruption stagnant growth
6958,Civil Site Engineer,Bidkin,,Construction Engineering Department,8 Sep 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good work culture job security management is beautiful,there is nothing to like
6960,Civil Site Supervisor,"Patna,Bihar",Full Time,Construction Engineering Department,8 Nov 2020,4.0,4.0,4.0,4.0,4.0,4.0,4.0,good work environment and culture teammates are suppurative and the management is transparent there is a huge cafeteria and gazing arcade for shilling company policies are good,there is a lot of politics and the management doesn t address our issues salary is decent but career growth is slow
6961,Executive Accountant,Construction Site,Full Time,Accounting & Taxation Department,1 Jan 2022,1.0,1.0,5.0,1.0,4.0,1.0,2.0,just one thing that they are mass recruited and give career start to freshness,hectic work life i mean u have to work all 7 days around 15hrs if u r posted their construction sites where mainly freshness deployed salary growth is pathetic u get same pay for 4 years nd the after promotion only 80 k around like in a year which is a joke
6962,Billing Assistant,Hyderabad,,Planning Department,9 Apr 2022,5.0,4.0,4.0,5.0,4.0,5.0,4.0,everything is good good salary good working experience from last 8 years in l t construction,some managers are playing with contract basis employees department employees carrier due to ego
6963,Senior Executive,Mysore,,,0 Dec 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,awesome great to work,awesome good to work for long time good learning at work
6964,Test Engineer,Mumbai,,Quality Assurance and Testing Department,1 Aug 2021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,if you want to fly high then don t join,timely salary credit
6965,Hr Executive,MP,,HR Operations Department,3 May 2021,4.0,2.0,4.0,4.0,5.0,4.0,4.0,too much work load,new relationship team work life safe people safety culture etc
6966,Safety Officer,New Delhi,,Construction Engineering Department,1 Nov 2021,4.0,4.0,5.0,4.0,4.0,4.0,5.0,sunday duty,it is always a best experience in lit with great opportunity and team support
6967,Senior Product Engineer.,Chennai,,Software Development Department,9 May 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,skill development and learning new things,no transparent in fair process
6968,Construction Manager,Bangalore,,Construction Engineering Department,8 Apr 2021,4.0,2.0,4.0,3.0,4.0,4.0,3.0,job security is the best company policies and employee benefits are at par of industry standards,work culture is traditional and old also most of the production centers are 6 days working
6970,Collection Officer,BIJNOR,,,8 Nov 2020,5.0,5.0,5.0,5.0,5.0,5.0,5.0,the company is open to innovation and readily adopt latest technology i love the fact that am a part of a team that markets reliable high quality products and has a global client base as a result i get to travel abroad especially to the us and canada but on site travel is completely dependent on your project and client s location mine is a us bast client and they have some offices in toronto hence i got a by isa quickly another pus point is that my colleagues come from various cultural background and we work happily in collaboration i also like the employee re hire policy here read more,compensation is decent but growth is slow the work pressure is very high sometimes i have to work 14 18 hours straight in a day as i have to attend client calls in the evening and sometimes late into the night managers do not value an individuals unique strength which is why i have to take back my suggestions most of the times i do receive appreciation email from my client but they mostly go unnoticed during my mid year appraisal also there is no job training for freshness hence senior folks like me have to guide them step by step which is a pain sometimes read more
6971,Supervisor,West Bengal Ashoknagar,,"Operations, Maintenance & Support Department",3 Jul 2021,5.0,4.0,4.0,4.0,3.0,4.0,3.0,yes i am working at l t company,no career growth
6972,Inplant Trainee,Powai,,,7 May 2021,5.0,5.0,5.0,1.0,5.0,5.0,5.0,job security work culture management company policies,no dislike for power camps
6973,Assistant Manager - Ehs,"Lakhimpur, Assam",,Community Health & Safety Department,0 Apr 2021,3.0,1.0,4.0,1.0,1.0,3.0,1.0,system of the company was best previously presently not safe for carrier,boiling of management
6974,Junior Foreman,Mumbai Suburban,,"Operations, Maintenance & Support Department",2 Apr 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good work environment and culture teammates are suppurative and the management is transparent there is a huge cafeteria and gazing arcade for shilling company policies are good appraisal are fair and they give good salary like and bonus every year,no
6975,Investigation Manager,Kolkata,,Lending Department,2 Apr 2021,1.0,1.0,1.0,4.0,1.0,1.0,1.0,nothing s,job not diffuse and there has a fraud detection target like sales and extensive travel with bye
6976,Piping Site Engineer,Chennai,,Construction Engineering Department,7 Mar 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,piping fabrication and erection work pipe support test package walk down punch point work hydra test work system walk down punch point work,food
6977,Civil Engineer,Mumbai Suburban,,Production & Manufacturing Department,1 Jul 2021,3.0,3.0,3.0,2.0,3.0,3.0,4.0,best company,this company perfect contraction company
6978,FORMWORK CHARGEHAND,Surat,,Accounting & Taxation Department,7 Jun 2021,5.0,5.0,5.0,5.0,5.0,5.0,3.0,this company my service year but thirtparty patrol,good culture environment
6980,Ohe Electrical Engineer,Surat,Full Time,Construction Engineering Department,8 Apr 2021,4.0,4.0,5.0,4.0,4.0,5.0,4.0,company policies work culture suppurative,very good organisation work culture satisfied
6981,Civil Site Execution Engineer,Mumbai,Full Time,Construction Engineering Department,5 Dec 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,very good,work pressure
6982,Electrical Site Engineer,Gorakhpur,Full Time,Construction Engineering Department,9 Apr 2021,2.0,1.0,3.0,1.0,1.0,1.0,1.0,very bad here is no job security,please don t join as contract staff
6983,Asstm Managera,Chennai,,Accounting & Taxation Department,1 Dec 2021,4.0,4.0,4.0,4.0,4.0,4.0,4.0,everything,nothing
6984,Embedded Testing Engineer,Mysore,,Software Development Department,0 Sep 2021,3.0,2.0,4.0,4.0,4.0,4.0,4.0,intense training,work life balance is pathetic
6985,Engineer,Mysore,,Software Development Department,5 Aug 2021,3.0,2.0,3.0,1.0,4.0,3.0,3.0,work culture,the work load is more so can t balance personal life
6986,Assistant Manager,Hazira,,Community Health & Safety Department,3 Nov 2021,2.0,3.0,4.0,2.0,1.0,3.0,2.0,nothing special,too beuracratic
6987,Assistant Electrical Engineer,Allahabad,,Construction Engineering Department,9 Aug 2021,2.0,4.0,4.0,3.0,2.0,3.0,5.0,management and planning,contractor filling process
6988,Assistant Construction Manager,Ahmedabad,,Accounting & Taxation Department,3 May 2021,4.0,2.0,4.0,4.0,4.0,2.0,4.0,job is secured based on your performance,no work life balance
6989,Client Support Engineer,Mumbai,,,3 Aug 2020,4.0,4.0,4.0,1.0,3.0,4.0,2.0,well organised management people are very cooperative except some there is no cutting or deduction in salary since this anaemic situation really appreciate that,as of i m not working on direct parole of l t there are no allowance or any benefit that i get we are working on it support so we have to frequently visit office to resolve issues which can not be resolved remote we work overcome taking all risk but still we don t get half of benefits that company employees get here i would like request management to work on because to get best it support at least company should give some benefits which every is possible this will make them to work hard and work sincerely this will increase productivity of employees and company at some point read more
6990,Assistant Manager,Jirapur,Full Time,,8 Jan 2022,3.0,1.0,4.0,1.0,5.0,2.0,3.0,nothing,work life balance salary
6991,Assistant Manager/manager-(nontechnical),Chennai,Full Time,Procurement & Purchase Department,5 Apr 2021,4.0,1.0,4.0,4.0,3.0,3.0,3.0,company policies and training encouraging employee for future growth,politics and degrading the growth during rating
6992,Assistant Manager/manager -(technical),NA,,,2 Jul 2021,4.0,2.0,4.0,3.0,5.0,3.0,4.0,if you are ready to take responsibility you will be given endless opportunities,work life balance
6993,Staff Nurse,Navi Mumbai,,Occupational Health Center Department,5 Nov 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good and nice experience,job security is 100 secure work culture is excellent management is good company is very suppurative for workers
6994,Micro Loan Officer,Golaghat,,Banking Operations Department,5 Feb 2021,4.0,5.0,5.0,5.0,5.0,5.0,5.0,company is good,transmission line go
6995,Assistant Store Manager,North Goa,,Storekeeper Department,4 Sep 2021,4.0,4.0,4.0,4.0,4.0,4.0,4.0,good culture,company policy only on paper
6996,Methods Engineer,Surat,,Project Management Group Department,8 Sep 2021,5.0,4.0,5.0,4.0,3.0,5.0,5.0,every thing culture like only thekedar company,overall good experience
6997,Sr. Engineer,Chennai,,,8 May 2021,3.0,1.0,4.0,2.0,3.0,2.0,2.0,some time get late or else no issues,working and salary
7000,Assistant Manager,Vijayawada,Full Time,Construction Engineering Department,7 Mar 2021,4.0,3.0,4.0,4.0,4.0,4.0,4.0,work has system,no power at and tier staff at site
7001,Diploma Mechanical Engineer,Banglore,Full Time,Mechanical engineering Department,2 Oct 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,this is good company settle in life,it not
7002,Electrical Site Supervisor,"RABINDRA NAGAR ,HOOGHLY",Full Time,Construction Engineering Department,9 May 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good work environment and culture,there is a lot of politics and the management doesn t dress our issues
7003,Project Manager (civil),New Delhi,,Construction Engineering Department,9 Apr 2021,5.0,3.0,5.0,5.0,5.0,4.0,5.0,he management policy job security,work life balance
7004,Production Supervisor,Mumbai,,Top Management Department,7 May 2019,4.0,4.0,4.0,4.0,4.0,4.0,5.0,its good company we improve our skill and we train in that company,don t have any complaints
7005,Quality Inspector,"Ahmednagar, Maharashtra",,Quality Assurance and Testing Department,6 May 2023,4.0,4.0,4.0,3.0,3.0,4.0,3.0,nice,low salary less job security
7006,PROJECT H R,Bangalore Rural,,HR Operations Department,7 Jan 2021,3.0,2.0,3.0,2.0,2.0,5.0,3.0,good work culture appraisal method is very poor dual report method is worst to complete the appraisal,lot politics and groups is there honest and innocent will be punished support among the group is based on the corruption and support for corruption working his is intolerable
7007,Planning Engineer,Muzaffarnagar,,Construction Engineering Department,9 Apr 2021,5.0,3.0,4.0,4.0,5.0,5.0,5.0,there is company think even a small requirement of employee this thing make this company perfect,there is timing not convenient as require by us
7008,Store Assistant,Radhanpur,,Construction Department,5 Sep 2021,4.0,5.0,5.0,4.0,4.0,4.0,5.0,better work experience gain and knowledge,good
7010,Geoscience Engineer,Baroda,Full Time,GeoEngineer  Department,5 Oct 2020,5.0,5.0,3.0,5.0,2.0,5.0,4.0,company policies work culture management,sometime work management no job security
7011,Planning Engineer,Bhubaneswar,Full Time,Construction Engineering Department,8 Sep 2021,4.0,2.0,5.0,5.0,5.0,3.0,3.0,,
7012,Section Engineer,Bengaluru/Bangalore,Full Time,Construction Engineering Department,3 Mar 2022,2.0,2.0,2.0,2.0,2.0,2.0,2.0,nothing,no comments
7013,Associate,Baroda,,Designing Department,0 May 2021,5.0,2.0,5.0,4.0,5.0,5.0,4.0,the most beautiful thing is the work environment and flexible tidings in most of the department a best option for those who wants go inside as you will get some good opportunities us japan australia,ruined work life balance if you are bachelor then nothing is best than lots but if you have a family then your family will have to suffer for family dinner most of the times if you are diploma holder then it is a very tough job for you to have a growing trajectory no transport facility is available if you are a working woman then you might get some benefits like no night shifts drop facilities preferable working hours but these facilities strictly depends on situations moreover night shifts are very rare for females read more
7014,Rigger,Bahrain,,Bahrain Department,7 Aug 2021,3.0,1.0,1.0,1.0,1.0,1.0,1.0,good work,yes
7015,Surveyor,Faizabad,,,1 Jul 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes i m interested in job,job security
7016,Assistant Engineering Manager,Chennai,,,2 Jun 2021,4.0,2.0,3.0,3.0,5.0,3.0,4.0,work culture long working hours,nothing
7017,Cost Management Accountant,Pune,,Accounting & Taxation Department,5 Mar 2021,1.0,2.0,1.0,3.0,3.0,1.0,1.0,worst place to work no job satisfaction and no career growth,job security
7018,Manager,Surat,,Engineering & Manufacturing Department,8 Oct 2021,3.0,3.0,3.0,3.0,3.0,3.0,3.0,working culture management,job stability good for civil engineering
7020,Assistant Construction Manager ( Civil),Delhi,Full Time,,7 Apr 2022,5.0,5.0,4.0,4.0,5.0,5.0,5.0,very happy working with l t,increments
7021,S-1,"Katni, Madhya Pradesh",,Construction Engineering Department,1 Jan 2023,4.0,3.0,4.0,4.0,5.0,3.0,3.0,working atmosphere is good,work life balance is not good
7022,Site Engineer Mechanical,Rajasthan,,Construction Engineering Department,0 Apr 2021,5.0,4.0,5.0,5.0,5.0,5.0,4.0,good environment for working in company and on time salary,frequently transferrable job
7023,Senior Engineer Quality Control,Jammu,,Construction Engineering Department,0 Mar 2021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,politics among the employed taking credit of some one s work,not a perfect place to find a working environment
7024,Regional Manager,Purnea,,,5 Feb 2022,2.0,1.0,1.0,3.0,1.0,1.0,1.0,pathetic,pathetic work culture
7025,Software Developer,Pune,,Software Development Department,1 Aug 2021,4.0,4.0,4.0,4.0,4.0,4.0,4.0,everything,nothing
7026,Document Controller,Aurangabad,,Construction Engineering Department,6 May 2021,5.0,4.0,5.0,5.0,5.0,5.0,5.0,very good company for career growth,time 12 hours working
7027,Accounts Executive,Bhubaneswar,,Accounting & Taxation Department,3 Feb 2021,5.0,4.0,5.0,4.0,5.0,4.0,5.0,l t providing could 19 vaccine to staffs there family very good initiative by our company,there is nothing about dislike
7028,Quality Engineer,Gujarat,,Quality Control Department,5 Jul 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,quality assurance engineer,like
7029,Ohe Front Line Supervisor,Mumbai,,Construction Engineering Department,5 Apr 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good environment with supporting teammates,management doesn t address our issues
7030,Senior Software Engineer,Banglore,Full Time,,9 May 2021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,worst company completed 4 years no like no promotion nothing they will send you to client location and get the huge filling,completely idiot company
7031,Diploma Civil Engineer   (working remotely),,Full Time,Construction Engineering Department,8 May 2022,1.0,3.0,4.0,3.0,5.0,2.0,2.0,i am interested this job,i am interested in this job
7032,Sr. Engineer In Process And Methods Engg,Talegaon Dabhade,Full Time,Accounting & Taxation Department,3 May 2021,3.0,3.0,4.0,3.0,4.0,4.0,4.0,not good for lateral candidates,discrimination lateral vs gets
7033,Piling Foreman,Chennai,Full Time,Construction Engineering Department,0 Feb 2021,4.0,5.0,5.0,5.0,5.0,5.0,5.0,good work culture work as a tears,salary incitement slow work place so far from your home
7034,Senior Civil Engineer,"Faridabad, Haryana",Full Time,Construction Engineering Department,4 Mar 2023,5.0,2.0,5.0,3.0,4.0,4.0,4.0,always support my senior and staff,no dislikes in my tenure
7035,Assistant Manager,Bhopal,,Construction Engineering Department,2 Jul 2021,4.0,3.0,4.0,3.0,3.0,4.0,3.0,job security,no work life balance
7036,Manager Proposals,Dubai,,Construction Engineering Department,6 Apr 2021,4.0,4.0,5.0,5.0,4.0,4.0,5.0,nice place to work,work life balance is bit undisturbed
7037,Foreman Mechanical,New Delhi,,Mechanical Construction Department,7 Jan 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good environment and cultural for working company management and policy are good there are nothing problems from organization,there is lot of politics to learning for employees on the job
7038,LAB OFFICER QA QC CIVIL,Chennai,,Construction Engineering Department,5 May 2022,5.0,1.0,1.0,1.0,1.0,1.0,2.0,very good,great
7039,Assistant Manager,Chennai,,,6 May 2021,1.0,,,,,,,brand,people politics
7040,"Project Document Controller, Engineer - Asset Information Management, IM Professional","Vadodara, Gujarat",Full Time,Accounting & Taxation Department,9 Oct 2022,3.0,5.0,4.0,3.0,4.0,4.0,3.0,nothing at the moment,nothing at the moment
7041,Supervisor,Ahmednagar,,Engineering Department,3 Dec 2020,5.0,5.0,5.0,5.0,4.0,5.0,4.0,good work environment and culture teammates are suppoetive and management is transparent,off role employees payment are much lower as they are doing responsible work as compare to on role employee
7042,Quality Control-Saudi Aramco,Al Khobar,,Construction Engineering Department,9 Aug 2020,5.0,4.0,4.0,4.0,5.0,4.0,5.0,l t is very strong company at its core the brand value expertise make it strong in the market work from home no salary cuts even in no work conditions company had all possible support to all employees,as the competition is tough in the market to catch up schedules minimize losses client pressure etc the work life balance is difficult much concerned point
7043,Flo,Balanga,,Accounting & Taxation Department,2 Apr 2021,5.0,4.0,2.0,5.0,5.0,5.0,5.0,best company of other industries really i m proud of my company,not
7044,Construction Manager Civil,Hyderabad,,Construction Engineering Department,9 Feb 2022,5.0,4.0,5.0,5.0,5.0,5.0,5.0,very awesome and good atmosphere,nothing to mention
7045,Accountant,Jodhpur,,Accounting & Taxation Department,1 May 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,best company for working,sometimes trimming issue
7046,Mechanical Engg. Design,Chennai,,,4 Apr 2021,2.0,1.0,2.0,1.0,4.0,1.0,2.0,camps is very good sports and grm facilities are excellent,work culture and management is poor
7047,Civil Engineer,Ranchi,,Construction Engineering Department,8 Jul 2021,4.0,3.0,2.0,3.0,1.0,1.0,1.0,nothing,management
7048,Assistant Manager/manager -(technical),Gulbarga,,Construction Engineering Department,2 Apr 2021,5.0,4.0,5.0,5.0,4.0,4.0,5.0,company systems are very good,rating system to be done fairly
7050,Accounts Supervisor,Chennai,Full Time,Accounting & Taxation Department,8 Feb 2021,3.0,1.0,3.0,4.0,4.0,2.0,3.0,job security salaries on time,no work life balance for site based staff skill development will be a big question mark if discharge is not having a sound knowledge
7051,CLUSTER SUPERVISER,Bhubaneswar,Intern,Accounting & Taxation Department,1 Aug 2021,3.0,3.0,4.0,3.0,3.0,3.0,3.0,ok,ok
7052,Site Supervisor,New Delhi,,,7 Dec 2020,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good work environment and culture teammates are suppurative and the management is transparent there is a huge cafeteria and gazing arcade for shilling company policies are good appraisal are fair and they give good salary,there is a lot of politics and the management doesn t address our issues salary is decent but career growth is slow there is a bond of 2 years before which you can not resign on the job training is not given to new joints
7053,Accountant,Dhanbad,,Accounting & Taxation Department,5 Aug 2021,4.0,4.0,4.0,4.0,5.0,4.0,5.0,accountant,no dislike
7054,"Safety Supervisor, Safety Officer",Gujrat,,,2 May 2021,4.0,3.0,5.0,4.0,4.0,4.0,4.0,i think l t is best company in the world because there is a lots of workers and policy,nothing
7055,Internship,Doddaballapur,,Machinary Department,7 Aug 2021,5.0,4.0,4.0,5.0,4.0,4.0,4.0,decline maintenance,nothing
7056,Project Leader,Chennai,,Software Development Department,4 Jul 2022,3.0,2.0,3.0,2.0,3.0,3.0,2.0,l t has fantastic policy but it s all depends on the managers how policy works for you,never recognized the achievements ready to give double the salary than the existing employee but lots not ready to give 5 like in who have been working with more than 11 years
7057,Engineer,Kolkata,,Construction Engineering Department,5 Apr 2021,5.0,4.0,5.0,5.0,5.0,5.0,5.0,very healthy work area having proper regeneration for job,not perfect work life balance
7058,Subcontract- Procurement (supervisor),VADODARA,,,7 Apr 2021,5.0,4.0,5.0,5.0,5.0,5.0,4.0,every moment is learning it s different work culture for freshness,nothing
7059,Project Engineer Mechanical,Chennai,,Construction Engineering Department,7 Oct 2021,4.0,2.0,4.0,4.0,5.0,4.0,4.0,job security and company policies,work pressure is too much and not given work according to your skill
7060,Quality Analyst,Chennai,Full Time,,2 Sep 2020,5.0,5.0,5.0,4.0,1.0,5.0,4.0,l t is an excellent company provided u r in d right team n right boss if not it s a hell,male chauvinistic team chennai quality and process of l t
